time1	time2	time3	time4	time5	time6
gene_40	-62.9360926625018	-33.8731235846734	-23.0010476388175	-77.3406986647263	-65.2940719548326	-65.0421371016352
gene_41	1.03278646023564	-8.69619473067065	-3.73569575607844	-40.7334985215152	-24.1099496950349	-58.8276522572731
gene_42	-37.6253995795565	-37.1783909756849	-69.936788940829	-26.5802780818349	-44.4334478507364	-77.1849713937711
gene_43	3.27480182463043	-44.4522507582318	-24.9727919145679	-80.7562549204719	-60.7373747885029	-79.2670090852986
gene_44	5.71835065209858	16.4855422792083	-39.6545492027415	-62.9903440984079	-94.0983801987895	-100.214971180722
gene_45	-14.9516461785398	-53.8788877019131	-33.9317757090992	-4.92048239697715	-73.2493421371595	-59.696835763039
gene_46	-19.4225969055938	-29.7147119245458	-36.6951718945948	-39.8673397214135	-72.658753823009	-50.567358520462
gene_47	-21.7525553982071	-39.3143418161499	-33.6253212873103	-51.2342257935647	-40.748841524513	-89.4994297823982
gene_48	-1.79873578004604	-40.1171527694812	-29.1420415585359	-26.3585196096115	-75.4505445069736	-92.8146400980256
gene_49	-27.2340446269582	-31.0304052867469	-74.1005183250898	-49.6789208126426	-63.785396585207	-81.0457304721159
gene_50	-42.5991213027462	-32.7312722656467	-24.057654710406	-53.1483399249915	-33.072934114825	-42.6919283854586
gene_51	-41.0595900629715	-19.1145355298581	-27.3543662388901	-65.3420335159009	-68.5735838322217	-75.5939134867846
gene_52	-44.279089718157	-35.9351998629835	-56.1355788150193	-10.6067886420457	-75.2746245738778	-83.5017864609257
gene_53	-32.7382416864405	2.92929801468092	-48.0308530945951	-69.7286141083772	-69.3139520542291	-58.2329941240321
gene_54	-6.46476503510786	-35.0164303834309	-47.6493680454758	-17.6848294448375	-52.4550334684592	-45.5090562581055
gene_55	-6.57231941252597	-45.8538178074125	-71.3862567886779	-56.0071303579498	-46.5607303583701	-76.1763770085012
gene_56	-22.1456028904774	-47.4120911632142	-3.42151842304451	-45.4958892505366	-63.3464128016532	-83.6300434200607
gene_57	44.1545967381142	5.61897134861356	-18.00938408772	-44.8534581673957	-75.5934450455164	-76.3952727616976
gene_58	-6.53826212060603	-35.6155937357268	-22.9390912003266	-73.7765204025483	-62.5566589626167	-90.4966935928561
gene_59	1.29635951707207	-26.0573805813784	-44.9946192224404	-57.1622506737133	-75.2229960707537	-57.7866509789356
gene_60	12.6809058623941	-22.3564017808417	-67.0233855545609	-53.6664184919471	-81.038371679183	-79.8649152529894
gene_61	-23.5572075733098	-120.421272757647	-151.63497296479	-248.076840102714	-285.399278781128	-242.085297207145
gene_62	-85.3012726235741	-91.7354766432181	-165.050629781808	-245.661772768384	-267.33985975223	-256.741399830922
gene_63	-75.2469945314718	-103.303970952887	-152.954782105416	-236.830095678419	-298.266986117136	-275.077714300385
gene_64	-72.1850926042277	-85.5065371740708	-191.941126724273	-179.056310823477	-299.760969486904	-257.168085879172
gene_65	-36.3353218822798	-110.12175002248	-176.436174507416	-245.82920010041	-276.969981165789	-244.644748479201
gene_66	-75.1785466012549	-87.6620119751816	-206.226819686902	-249.348069652003	-247.724243452504	-251.15796027943
gene_67	-61.1062417671856	-118.620315119644	-144.550695513955	-268.854124528803	-282.371952207772	-286.763958968835
gene_68	-58.4416891804522	-106.049712656031	-173.329661317936	-245.348494403338	-294.828117228353	-257.573926485289
gene_69	-59.1793372450108	-66.1789442162207	-161.038799099297	-256.022976304319	-251.823938466848	-270.155850111333
gene_70	-38.0159724647874	-136.251333589055	-158.379975153016	-218.903094532102	-249.660181183354	-278.697146940532
gene_71	-55.7256927459138	-127.290140006851	-184.922170228685	-265.438562282144	-263.801422172761	-317.096148796447
gene_72	-71.8798765727815	-132.001786326651	-171.562948245961	-241.331312070949	-286.04022896363	-292.992880189993
gene_73	-59.864593890763	-91.1736326503407	-187.297319305006	-265.701896172345	-285.890770673381	-290.013766123782
gene_74	-82.0056102007127	-111.243775486702	-184.165814004748	-269.816534131314	-323.206023239323	-301.802990257526
gene_75	-65.7990318948567	-82.1042180519108	-174.105538479315	-227.792968354499	-300.129678365	-241.783649986429
gene_76	-60.1360212912843	-120.755347380736	-176.830679593573	-223.710757695754	-308.400967549138	-260.476454599135
gene_77	-26.0085226112245	-122.50433907074	-163.130033791646	-229.814007630197	-233.530850929297	-234.266891746255
gene_78	-68.0609468091053	-108.152524053915	-168.409237612498	-214.360925204462	-315.260963165429	-254.452044168176
gene_79	-87.8603655777246	-70.7750794196562	-192.043994597062	-237.550227732565	-275.555697539581	-277.634519293742
gene_80	-49.5132233360267	-99.2892216306654	-172.815003063344	-227.579644114097	-262.522923402605	-269.883995138517
gene_81	-56.2316022390462	-122.988862862111	-192.046215356037	-220.170693243403	-255.247976035528	-256.958752504934
gene_82	-84.2882573470421	-146.265365223461	-170.965808139963	-243.04821081333	-271.714078697525	-284.917850839807
gene_83	-36.3186085390593	-125.680451988727	-181.685755911963	-243.10385132119	-276.730633919247	-260.63109666517
gene_84	-65.3929484887978	-104.845841668069	-214.247107937602	-260.30639787517	-283.732669997804	-243.811327222925
gene_85	-38.9921863193294	-127.880630084325	-179.942348654856	-283.478573127447	-276.585978927648	-281.179534986061
gene_86	-58.6201808289448	-94.198382263575	-175.467321682086	-234.326170274078	-258.645064726798	-257.786709640447
gene_87	-96.6232975766343	-120.110404623557	-210.322417074675	-253.860642442232	-287.538701001837	-238.452302771088
gene_88	-64.5292507857649	-107.31286272394	-178.423890581043	-257.714747131789	-289.367717953493	-282.778909505773
gene_89	-65.1725471706867	-127.849013619626	-155.957381981177	-239.637781949207	-288.964288829282	-260.19357453276
gene_90	-67.9460913257561	-104.580706093393	-188.274674100325	-215.988553749335	-264.111902597483	-275.54670499693
gene_91	-67.6420236154877	-91.7987665768451	-153.529138055703	-222.769971327798	-235.278046756775	-252.956960497962
